Package,Version
viridis,0.6.5
viridisLite,0.4.2
ggbeeswarm,0.7.2
sf,1.0-21
DT,0.33
data.table,1.17.0
lubridate,1.9.4
forcats,1.0.0
stringr,1.5.1
dplyr,1.1.4
purrr,1.0.4
readr,2.1.5
tidyr,1.3.1
tibble,3.2.1
tidyverse,2.0.0
plotly,4.10.4
ggplot2,3.5.1
leaflet,2.2.2
shinydashboard,0.7.3
shiny,1.10.0
